undergradStatus,entryStatus,gender,raceEthnicity,year,count,hour,email
 <=50K,Some-college,Female,<30,0,1,Full-time,victoria.i@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,riley.e@msn.com
 <=50K,9th,Male,<60,0,1,Full-time,daniel.y@msn.com
 <=50K,Some-college,Male,<60,0,1,Full-time,john.i@msn.com
 >50K,Assoc-voc,Male,<50,0,1,Full-time,julian.k@hotmail.com
 <=50K,Some-college,Male,<60,0,1,Full-time,levi.m@hotmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,jacob.w@gmail.com
 <=50K,Some-college,Female,<30,0,1,Part-time,riley.h@gmail.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,luke.k@msn.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,jacob.y@gmail.com
 >50K,Bachelors,Male,<30,0,1,Full-time,tyler.c@aol.com
 <=50K,Some-college,Male,<20,0,1,Part-time,jayden.n@aol.com
 >50K,Bachelors,Female,<50,0,1,Full-time,kylie.a@msn.com
 <=50K,Some-college,Female,<30,0,1,Part-time,claire.s@aol.com
 >50K,Assoc-acdm,Male,<40,0,1,Full-time,charlie.i@yahoo.com
 <=50K,Some-college,Male,<40,0,1,Full-time,luke.y@gmail.com
 <=50K,Assoc-acdm,Female,<30,0,1,Full-time,savannah.y@yahoo.com
 <=50K,HS-grad,Female,<30,0,1,Full-time,olivia.x@msn.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,caden.y@yahoo.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,eli.k@hotmail.com
 <=50K,Assoc-acdm,Female,<50,0,1,Full-time,peyton.x@yahoo.com
 >50K,Masters,Male,<40,0,1,Full-time,alexander.z@gmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,david.h@yahoo.com
 <=50K,Assoc-voc,Female,<30,0,1,Full-time,isabelle.c@msn.com
 <=50K,Some-college,Male,<30,0,1,Part-time,caden.a@aol.com
 >50K,Some-college,Male,<50,0,1,Full-time,daniel.e@msn.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,landon.k@msn.com
 <=50K,Some-college,Female,<30,0,1,Full-time,sophie.w@yahoo.com
 <=50K,Some-college,Male,<20,0,1,Part-time,joshua.i@hotmail.com
 >50K,Assoc-voc,Female,<50,0,1,Full-time,natalie.d@yahoo.com
 <=50K,Some-college,Male,>=60,0,1,Part-time,james.z@msn.com
 <=50K,HS-grad,Female,<40,0,1,Part-time,sophie.a@yahoo.com
 <=50K,Some-college,Male,<30,0,1,Full-time,charlie.m@yahoo.com
 <=50K,HS-grad,Female,<40,0,1,Part-time,mila.w@gmail.com
 <=50K,11th,Male,>=60,0,1,Full-time,nicholas.e@gmail.com
 <=50K,Some-college,Female,<50,0,1,Full-time,ava.n@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,leah.w@hotmail.com
 <=50K,Bachelors,Female,<40,0,1,Full-time,gianna.c@yahoo.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,mason.n@hotmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,charlie.s@msn.com
 <=50K,Bachelors,Male,<30,0,1,Part-time,lucas.t@gmail.com
 <=50K,Some-college,Male,>=60,0,1,Full-time,joseph.e@hotmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,aiden.h@aol.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,gavin.r@gmail.com
 <=50K,HS-grad,Female,<30,0,1,Part-time,bella.t@aol.com
 <=50K,Masters,Female,<50,0,1,Full-time,jordyn.r@msn.com
 <=50K,HS-grad,Female,<30,0,1,Full-time,madison.e@msn.com
 >50K,Masters,Male,<50,0,1,Full-time,wyatt.w@msn.com
 <=50K,Some-college,Female,<40,0,1,Full-time,vivian.r@gmail.com
 <=50K,Assoc-acdm,Male,<40,0,1,Full-time,dominic.l@gmail.com
 <=50K,Masters,Male,<50,0,1,Full-time,alexander.y@yahoo.com
 <=50K,11th,Male,<20,0,1,Part-time,alexander.s@msn.com
 <=50K,Assoc-voc,Female,>=60,0,1,Part-time,leah.m@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,zachary.b@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,tyler.r@yahoo.com
 >50K,Some-college,Male,<60,0,1,Full-time,cameron.b@hotmail.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,caleb.h@gmail.com
 >50K,Bachelors,Male,<30,0,1,Full-time,david.i@msn.com
 <=50K,HS-grad,Female,<30,0,1,Full-time,olivia.s@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,henry.d@gmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,charlie.s@gmail.com
 <=50K,HS-grad,Male,<20,0,1,Part-time,caleb.r@gmail.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,joseph.l@hotmail.com
 >50K,Some-college,Male,<50,0,1,Full-time,mason.r@yahoo.com
 <=50K,Some-college,Female,<50,0,1,Full-time,mia.k@aol.com
 <=50K,Some-college,Male,<40,0,1,Full-time,john.i@gmail.com
 >50K,7th-8th,Male,<50,0,1,Full-time,joseph.l@hotmail.com
 >50K,Some-college,Male,<40,0,1,Full-time,john.r@yahoo.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,gavin.c@yahoo.com
 <=50K,Bachelors,Female,<50,0,1,Full-time,liliana.x@gmail.com
 <=50K,Masters,Female,<40,0,1,Full-time,lillian.m@aol.com
 >50K,Doctorate,Male,<60,0,1,Full-time,max.m@yahoo.com
 <=50K,Some-college,Female,<40,0,1,Full-time,brooklyn.c@yahoo.com
 <=50K,Some-college,Male,<30,0,1,Full-time,alexander.h@aol.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,elijah.s@gmail.com
 <=50K,Some-college,Male,<50,0,1,Full-time,jacob.x@gmail.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,thomas.s@hotmail.com
 <=50K,5th-6th,Male,<30,0,1,Full-time,michael.t@hotmail.com
 <=50K,Some-college,Male,<40,0,1,Full-time,matthew.d@aol.com
 >50K,Masters,Female,<50,0,1,Full-time,aaliyah.l@msn.com
 >50K,Masters,Male,<40,0,1,Full-time,samuel.t@hotmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,dylan.r@gmail.com
 <=50K,Masters,Female,<30,0,1,Full-time,amelia.n@gmail.com
 >50K,Bachelors,Male,<60,0,1,Full-time,brayden.h@gmail.com
 <=50K,Some-college,Female,<50,0,1,Full-time,ellie.i@hotmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,adeline.w@hotmail.com
 <=50K,11th,Female,<20,0,1,Part-time,gabriella.z@gmail.com
 >50K,Bachelors,Male,<40,0,1,Full-time,daniel.n@yahoo.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,landon.i@aol.com
 >50K,HS-grad,Female,<60,0,1,Full-time,grace.r@hotmail.com
 <=50K,11th,Female,<20,0,1,Part-time,kaitlyn.w@hotmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,brayden.k@yahoo.com
 >50K,HS-grad,Male,<40,0,1,Full-time,matthew.a@gmail.com
 <=50K,Some-college,Female,<40,0,1,Full-time,isabella.y@yahoo.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,thomas.d@gmail.com
 >50K,7th-8th,Male,<60,0,1,Full-time,samuel.c@gmail.com
 >50K,Bachelors,Male,<40,0,1,Full-time,gabriel.l@aol.com
 <=50K,Assoc-acdm,Female,<60,0,1,Full-time,lillian.w@msn.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,oliver.d@msn.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,jackson.x@gmail.com
 <=50K,10th,Male,<30,0,1,Full-time,ryan.i@aol.com
 <=50K,Some-college,Male,<40,0,1,Full-time,anthony.k@hotmail.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,liam.x@gmail.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,sebastian.k@hotmail.com
 <=50K,Preschool,Female,<60,0,1,Full-time,chloe.d@gmail.com
 <=50K,HS-grad,Female,<20,0,1,Part-time,mackenzie.t@msn.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,andrew.i@gmail.com
 <=50K,Assoc-voc,Female,>=60,0,1,Part-time,audrey.z@hotmail.com
 <=50K,HS-grad,Female,>=60,0,1,Full-time,chloe.b@gmail.com
 <=50K,11th,Male,<40,0,1,Full-time,jayce.x@gmail.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,brooklyn.z@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,thomas.d@aol.com
 <=50K,Some-college,Female,<40,0,1,Full-time,maya.e@aol.com
 >50K,Prof-school,Male,<30,0,1,Full-time,landon.n@hotmail.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,charlie.k@hotmail.com
 <=50K,Some-college,Female,<50,0,1,Full-time,sophia.x@gmail.com
 >50K,Bachelors,Male,<50,0,1,Full-time,alexander.k@aol.com
 >50K,Masters,Male,<40,0,1,Full-time,max.t@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,joseph.e@aol.com
 >50K,Bachelors,Male,<50,0,1,Full-time,colton.c@yahoo.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,london.s@gmail.com
 <=50K,Assoc-acdm,Male,<30,0,1,Full-time,tyler.r@aol.com
 <=50K,Some-college,Male,<40,0,1,Full-time,liam.a@msn.com
 >50K,HS-grad,Male,<60,0,1,Full-time,sebastian.h@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,audrey.r@yahoo.com
 >50K,Assoc-acdm,Male,<50,0,1,Full-time,thomas.t@gmail.com
 >50K,Prof-school,Female,<50,0,1,Full-time,madison.c@aol.com
 <=50K,Bachelors,Female,<50,0,1,Full-time,elena.w@gmail.com
 <=50K,10th,Female,<60,0,1,Full-time,evelyn.r@aol.com
 <=50K,Some-college,Male,<20,0,1,Part-time,ryan.h@yahoo.com
 <=50K,Some-college,Male,<60,0,1,Full-time,hunter.r@gmail.com
 >50K,HS-grad,Male,<50,0,1,Full-time,colton.i@yahoo.com
 <=50K,HS-grad,Female,<30,0,1,Part-time,hailey.y@msn.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,brooklyn.m@gmail.com
 <=50K,Assoc-voc,Female,<50,0,1,Full-time,amelia.k@gmail.com
 <=50K,7th-8th,Male,<60,0,1,Full-time,alexander.y@hotmail.com
 <=50K,Bachelors,Female,<40,0,1,Full-time,emma.b@aol.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,wyatt.d@yahoo.com
 <=50K,11th,Male,<20,0,1,Part-time,levi.n@gmail.com
 <=50K,Some-college,Male,<60,0,1,Full-time,max.c@yahoo.com
 <=50K,11th,Male,<30,0,1,Full-time,gabriel.w@hotmail.com
 >50K,Some-college,Male,<40,0,1,Full-time,ryan.w@msn.com
 >50K,HS-grad,Male,>=60,0,1,Full-time,michael.e@msn.com
 <=50K,Bachelors,Female,<40,0,1,Full-time,savannah.a@aol.com
 >50K,HS-grad,Female,<40,0,1,Full-time,zoe.k@gmail.com
 >50K,HS-grad,Male,>=60,0,1,Full-time,dylan.n@aol.com
 <=50K,9th,Male,<20,0,1,Part-time,gabriel.t@yahoo.com
 <=50K,Masters,Male,<60,0,1,Full-time,matthew.k@aol.com
 <=50K,Masters,Male,<30,0,1,Full-time,jacob.h@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,stella.n@msn.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,brayden.c@aol.com
 >50K,Some-college,Male,<50,0,1,Full-time,daniel.e@msn.com
 <=50K,Some-college,Female,<40,0,1,Full-time,olivia.a@gmail.com
 <=50K,Some-college,Female,<30,0,1,Full-time,nora.n@yahoo.com
 >50K,Some-college,Female,<30,0,1,Full-time,grace.s@hotmail.com
 <=50K,Bachelors,Female,<30,0,1,Full-time,maria.r@hotmail.com
 >50K,Some-college,Male,<50,0,1,Full-time,landon.s@aol.com
 <=50K,Assoc-acdm,Female,<40,0,1,Full-time,grace.m@gmail.com
 <=50K,Bachelors,Female,>=60,0,1,Full-time,kaylee.x@yahoo.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,jacob.w@yahoo.com
 >50K,Masters,Male,<60,0,1,Full-time,max.c@gmail.com
 >50K,Prof-school,Male,<50,0,1,Full-time,gavin.k@hotmail.com
 <=50K,Some-college,Male,<60,0,1,Full-time,alexander.r@gmail.com
 <=50K,Bachelors,Female,<30,0,1,Full-time,stella.w@gmail.com
 <=50K,7th-8th,Male,<60,0,1,Full-time,connor.h@msn.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,jayden.t@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,kylie.t@gmail.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,gabriel.w@msn.com
 <=50K,Some-college,Male,<30,0,1,Part-time,adam.h@hotmail.com
 <=50K,Bachelors,Female,<30,0,1,Full-time,madelyn.n@msn.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,jayden.s@msn.com
 <=50K,Bachelors,Female,<40,0,1,Full-time,emily.n@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,tyler.n@hotmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,john.r@gmail.com
 >50K,Bachelors,Male,<50,0,1,Full-time,evan.x@msn.com
 <=50K,Some-college,Female,<30,0,1,Part-time,victoria.t@msn.com
 >50K,HS-grad,Male,<40,0,1,Full-time,julian.m@hotmail.com
 >50K,HS-grad,Male,<60,0,1,Full-time,ryan.k@hotmail.com
 <=50K,Some-college,Female,<30,0,1,Full-time,arianna.i@yahoo.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,liliana.n@gmail.com
 <=50K,Assoc-acdm,Male,<30,0,1,Full-time,christian.d@gmail.com
 <=50K,Assoc-acdm,Female,<50,0,1,Full-time,emily.z@hotmail.com
 >50K,Assoc-acdm,Male,<40,0,1,Full-time,liam.s@aol.com
 >50K,Some-college,Male,<50,0,1,Full-time,dominic.c@hotmail.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,joseph.l@yahoo.com
 >50K,Masters,Male,<40,0,1,Full-time,levi.l@aol.com
 >50K,Bachelors,Female,<40,0,1,Full-time,riley.a@yahoo.com
 <=50K,Some-college,Male,<30,0,1,Part-time,zachary.a@hotmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,thomas.b@yahoo.com
 <=50K,Some-college,Male,>=60,0,1,Part-time,tyler.c@yahoo.com
 <=50K,5th-6th,Female,<30,0,1,Full-time,vivian.h@aol.com
 <=50K,Some-college,Female,<30,0,1,Full-time,elizabeth.a@hotmail.com
 <=50K,HS-grad,Female,>=60,0,1,Full-time,aria.t@aol.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,dominic.i@gmail.com
 <=50K,Some-college,Male,<50,0,1,Full-time,jack.r@msn.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,joshua.a@hotmail.com
 <=50K,11th,Female,<30,0,1,Full-time,adeline.e@gmail.com
 <=50K,Masters,Male,>=60,0,1,Part-time,colton.z@hotmail.com
 <=50K,HS-grad,Male,>=60,0,1,Part-time,ryan.l@msn.com
 >50K,Some-college,Female,<50,0,1,Full-time,anna.r@gmail.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,luke.h@gmail.com
 <=50K,HS-grad,Male,>=60,0,1,Full-time,jayden.l@gmail.com
 <=50K,Some-college,Male,<50,0,1,Full-time,grayson.a@gmail.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,joseph.z@aol.com
 <=50K,Assoc-voc,Male,<50,0,1,Full-time,brayden.k@yahoo.com
 <=50K,10th,Male,<60,0,1,Full-time,daniel.m@yahoo.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,noah.n@gmail.com
 <=50K,5th-6th,Male,<20,0,1,Full-time,mason.y@aol.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,john.t@aol.com
 <=50K,Masters,Male,<50,0,1,Full-time,carter.s@gmail.com
 <=50K,HS-grad,Male,<20,0,1,Part-time,cameron.z@yahoo.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,samuel.k@yahoo.com
 <=50K,Assoc-acdm,Male,<30,0,1,Full-time,thomas.s@msn.com
 >50K,Assoc-voc,Male,<40,0,1,Full-time,charlie.w@aol.com
 >50K,HS-grad,Male,<40,0,1,Full-time,adam.l@gmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,nathan.m@yahoo.com
 <=50K,Some-college,Female,<30,0,1,Part-time,hannah.k@msn.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,hunter.t@aol.com
 <=50K,Assoc-acdm,Male,<60,0,1,Full-time,daniel.k@gmail.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,daniel.d@hotmail.com
 >50K,Bachelors,Male,<40,0,1,Full-time,jacob.a@yahoo.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,hunter.b@aol.com
 >50K,Bachelors,Male,<40,0,1,Full-time,lucas.x@msn.com
 <=50K,11th,Male,<50,0,1,Full-time,luke.t@yahoo.com
 >50K,HS-grad,Male,<40,0,1,Full-time,noah.b@yahoo.com
 <=50K,11th,Male,>=60,0,1,Full-time,joseph.s@hotmail.com
 >50K,Assoc-voc,Male,<50,0,1,Full-time,carter.h@hotmail.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,bella.a@msn.com
 <=50K,9th,Male,<30,0,1,Full-time,cameron.l@hotmail.com
 <=50K,10th,Female,<40,0,1,Full-time,sarah.y@yahoo.com
 >50K,Masters,Male,>=60,0,1,Full-time,nicholas.s@aol.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,henry.s@aol.com
 >50K,Bachelors,Male,<50,0,1,Full-time,dominic.b@gmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,joseph.m@aol.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,noah.e@msn.com
 <=50K,Some-college,Male,<60,0,1,Full-time,isaac.c@aol.com
 <=50K,Assoc-acdm,Female,<30,0,1,Part-time,gabriella.t@gmail.com
 >50K,Bachelors,Female,<60,0,1,Full-time,layla.x@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,lillian.x@aol.com
 <=50K,Some-college,Female,<30,0,1,Full-time,savannah.c@hotmail.com
 <=50K,11th,Male,<20,0,1,Part-time,landon.t@msn.com
 >50K,Assoc-voc,Male,<50,0,1,Full-time,cameron.l@gmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,evan.i@gmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,caden.n@msn.com
 <=50K,Some-college,Female,<30,0,1,Part-time,jordyn.n@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,audrey.e@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,lucas.h@aol.com
 <=50K,Masters,Male,<50,0,1,Full-time,benjamin.c@hotmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,isaac.i@hotmail.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,tyler.t@msn.com
 <=50K,5th-6th,Female,<50,0,1,Full-time,avery.e@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,aiden.r@hotmail.com
 <=50K,Some-college,Female,<50,0,1,Full-time,skyler.e@yahoo.com
 <=50K,Some-college,Female,<40,0,1,Full-time,kaitlyn.b@msn.com
 <=50K,HS-grad,Female,<30,0,1,Full-time,leah.z@gmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,oliver.m@aol.com
 >50K,Some-college,Female,<50,0,1,Full-time,vivian.m@msn.com
 <=50K,Some-college,Female,<20,0,1,Part-time,alaina.x@gmail.com
 <=50K,HS-grad,Female,<20,0,1,Part-time,caroline.w@msn.com
 >50K,HS-grad,Female,<40,0,1,Full-time,aubrey.m@gmail.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,jayden.h@msn.com
